episode,reward,length,deterministic,env,steps_trained
174,0.0,14,True,ALE/SpaceInvaders-v5,500000
175,50.0,21,True,ALE/SpaceInvaders-v5,500000
176,270.0,88,True,ALE/SpaceInvaders-v5,500000
177,65.0,37,True,ALE/SpaceInvaders-v5,500000
178,35.0,12,True,ALE/SpaceInvaders-v5,500000
179,75.0,29,True,ALE/SpaceInvaders-v5,500000
180,80.0,28,True,ALE/SpaceInvaders-v5,500000
181,75.0,47,True,ALE/SpaceInvaders-v5,500000
182,40.0,20,True,ALE/SpaceInvaders-v5,500000
183,40.0,30,True,ALE/SpaceInvaders-v5,500000
184,35.0,13,True,ALE/SpaceInvaders-v5,500000
185,30.0,10,True,ALE/SpaceInvaders-v5,500000
186,105.0,33,True,ALE/SpaceInvaders-v5,500000
187,0.0,10,True,ALE/SpaceInvaders-v5,500000
188,0.0,10,True,ALE/SpaceInvaders-v5,500000
189,245.0,66,True,ALE/SpaceInvaders-v5,500000
190,0.0,10,True,ALE/SpaceInvaders-v5,500000
191,10.0,23,True,ALE/SpaceInvaders-v5,500000
192,75.0,31,True,ALE/SpaceInvaders-v5,500000
193,250.0,94,True,ALE/SpaceInvaders-v5,500000
194,175.0,48,True,ALE/SpaceInvaders-v5,500000
195,110.0,46,True,ALE/SpaceInvaders-v5,500000
196,0.0,11,True,ALE/SpaceInvaders-v5,500000
197,20.0,33,True,ALE/SpaceInvaders-v5,500000
198,210.0,62,True,ALE/SpaceInvaders-v5,500000
199,90.0,44,True,ALE/SpaceInvaders-v5,500000
200,0.0,10,True,ALE/SpaceInvaders-v5,500000
